확인 완료 체크,ID,프로젝트,구분,기능군,기능,경로,세부 동작,현재 판정,우선순위,화면 확인,이번 로컬 실행,운영 전과정 성공,다음 확인,완료 판정 공통,코드 근거,API·연결,관련 테스트·정적 근거(통과 뜻 아님),승인 경계,확인일,담당·결과 기록
미완료,PUB-33,웹,고객,전역,언어 전환·쿠키 동의 설정,전역,언어 전환·쿠키 동의 설정,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"ko/en/ja/zh 경로별 UI, 동의 저장·철회 후 분석 전송 차단",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,RouteLanguageProvider/Header/CookieBanner/CookieSettings,언어 및 동의 브라우저 저장소,tests/unit/analytics-consent-queue.test.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-34,웹,고객,전역,404 화면 및 이전 예약 경로 호환,*; /booking,404 화면 및 이전 예약 경로 호환,부분 검증,P2,"/booking → /tours 및 없는 주소 404 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"알 수 없는 경로, 북마크 경로 리다이렉트",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,NotFoundPage; /booking Navigate → /tours,없음,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-35,웹,고객,정보,회사·약관·개인정보·여행약관,"/about, /terms, /privacy, /travel-terms",회사·약관·개인정보·여행약관,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,노출 문구 최신성·언어 완결성,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,About/Terms/Privacy/TravelTerms,정적 다국어 문구,,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-36,웹,고객,코스 빌더,내 장소로 코스 만들기·장소 검색/추가·일정 편집·링크 공유,/planner?mode=course,내 장소로 코스 만들기·장소 검색/추가·일정 편집·링크 공유,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,장소검색/추가·이동·저장·기기 간 공유 및 API 실패 폴백,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,PlannerPage → CourseBuilderShell/useCourseBuilder,"draft localStorage; published zone-course lookup; POST /api/course-share → /s/:id, 실패 시 인코딩된 planner URL 대체",tests/unit/course-builder-shell.component.test.tsx | tests/unit/course-builder-ops.test.ts | tests/unit/course-share-api.test.ts | tests/e2e/shared-course-editorial.spec.ts,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-37,웹,고객,계정,저장 코스 목록·플래너 열기·삭제,/mypage?tab=courses,저장 코스 목록·플래너 열기·삭제,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실계정 저장/삭제 및 플래너 draft로 불러오기,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,MyPage → MyCoursesTab,Firestore users/{uid}/itineraries via useItinerary,tests/unit/course-builder-upgrade.test.ts | tests/unit/course-builder-shell.component.test.tsx,재현 가능한 비민감 코드 변경은 계획 확정 후; 이번 점검에서 제품 수정 없음,2026-09-23,
미완료,PUB-38,웹,고객,지원,홈 플로팅 채팅·무료 게스트 질문·로그인 후 이어 대화,/ (홈에서만 전역 렌더),홈 플로팅 채팅·무료 게스트 질문·로그인 후 이어 대화,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,"게스트 질문 한도, 응답 지연/오류, 로그인 후 대화 이어짐",해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,ChatWidget → useChatSession,POST /api/chat; operator reply polling /api/chat-poll; session state,tests/unit/chat-guest-gate.test.tsx | tests/unit/chat-session-auth.test.ts | tests/unit/chat-session-ownership.test.ts | tests/e2e/assistant-editorial.spec.ts,실발송·발행·외부 계정/키 변경 별도 승인,2026-09-23,
미완료,ADM-03,웹,관리자,admin,예약·방문 현황과 운영 바로가기,/admin,예약 조회 | 방문 통계 조회 | 투어 입력 | 푸시 테스트 발송 | MOOD 잔액 충전 | MOOD 사용자·주소록 관리,부분 검증,P2,"/admin 관리자 로그인 안내 / 1440·390px, API·외부통신 차단",기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/Admin.tsx | src/components/admin/MoodTopupModal.tsx | src/components/admin/MoodAccessManager.tsx,/api/admin-bookings | /api/admin-posthog-visitors | /api/admin-test-push | /api/mood-allowlist-admin | /api/mood-data | /api/mood-topup | Firestore: pending_bookings | Firestore: tours,tests/charter-local-server.mjs | tests/global-setup.ts | tests/playwright-base-url.ts | tests/playwright-charter-local.config.ts | tests/vitest-inquiry-local.config.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-04,웹,관리자,admin,리뷰 조회·운영 관리,/admin/reviews,리뷰 조회 | 리뷰 상태 관리,부분 검증,P2,이번 화면 검사 대상 아님,리뷰 화면 인증 전환 경쟁 상태 4개 통과,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminReviews.tsx | src/lib/authFetch.ts,/api/reviews,tests/e2e/i18n-locale-smoke.spec.ts | tests/e2e/mood-quote-korean-customer-document.spec.ts | tests/e2e/mypage-editorial.spec.ts | tests/e2e/plan-detail-editorial.spec.ts | tests/e2e/tour-detail-editorial.spec.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-05,웹,관리자,admin,AI 운영 현황·대기 항목 확인,/admin/ai-center,AI 운영 요약 조회 | 문의함·상태 확인 | 알림 준비상태 확인,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminAiOpsCenter.tsx | src/lib/adminAiOpsCopy.ts | src/components/OwnerControllerSetupPanel.tsx,/api/admin-ai-ops-center?limit,tests/unit/admin-ai-ops-availability.component.test.tsx | tests/unit/admin-ai-ops-center-preview.component.test.tsx | tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/admin-recorded-ai-usage.component.test.tsx | tests/unit/admin-section-navigation.component.test.tsx,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-06,웹,관리자,admin,커뮤니티 글·댓글 검토와 신고 처리,/admin/community,검토 대기 글 조회 | 글·댓글 승인 | 글·댓글 숨김 | 신고 처리,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/CommunityPage.tsx | src/lib/appReady.ts | src/lib/analytics.ts,/api/community-admin | /api/community-notifications | /api/community-post-actions | /api/community-posts | /api/community-posts?id | /api/community-posts?sort | /api/community-translate,tests/unit/community-css-ownership.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-07,웹,관리자,admin,운영 허용 문구 관리,/admin/claims,허용 문구 조회·수정,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminClaims.tsx | src/lib/firebase.js | src/lib/inquiryAdmin.ts,/api/admin-coupon-fix | /api/onboarding-coupons | Firestore: charter_inquiries | Firestore: pending_free_claims | Firestore: users,tests/unit/admin-ai-ops-availability.component.test.tsx | tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/admin-auth.test.ts | tests/unit/admin-claims-loading.component.test.tsx | tests/unit/admin-owner-notification-test.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-08,웹,관리자,admin,예약 결제 상태 조회·수동 상태 처리,/admin/payments,예약 결제 조회 | 결제 완료/환불/취소 상태 처리,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminPayments.tsx | src/components/admin/RuntimeFlagsPanel.tsx | src/components/admin/PromoBannerPanel.tsx,/api/admin-booking-action | /api/admin-promo-config | /api/admin-runtime-flags | Firestore: pending_bookings,tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/admin-bypass-detector-a1-7-1.test.ts | tests/unit/editorial-planner-journey.test.ts | tests/unit/guest-anon-reader.test.ts | tests/unit/lint-payment-form-sync.test.tsx,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-09,웹,관리자,admin,전체 예약 조회·예약 액션,/admin/all-bookings,전체 예약 조회 | 예약 취소·배차 취소 등 상태 변경,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminAllBookings.tsx,/api/admin-all-bookings?limit | /api/admin-booking-action,tests/unit/admin-lifecycle-loading.test.tsx | tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/quality-score-and-p2.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-10,웹,관리자,admin,예약 의심 건 점검·알림 재처리,/admin/reconciliation,의심 예약 검사 | 예약 알림 재전송,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminReconciliation.tsx,/api/admin-replay-booking-notifications | /api/admin-scan-suspect-bookings,tests/unit/admin-ai-ops-availability.component.test.tsx | tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/admin-lifecycle-loading.test.tsx | tests/unit/voucher.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-11,웹,관리자,admin,고객 플랜 검색·조회,/admin/plans,이메일·플랜 ID로 플랜 조회,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminPlans.tsx,/api/admin-plan-lookup | /api/admin-plan-lookup?email | /api/admin-plan-lookup?planId,tests/e2e/auth-required-focus.spec.ts | tests/e2e/my-plans-editorial.spec.ts | tests/e2e/p238-visual-verification.spec.ts | tests/e2e/plan-detail-editorial.spec.ts | tests/e2e/translation-pdf.spec.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-12,웹,관리자,admin,투어 날짜별 예약 가능 수량 관리,/admin/availability,날짜별 잔여석 조회·수정,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminTourAvailability.tsx | src/lib/tour-availability-store.ts,Firestore: tour_availability,tests/unit/lint-admin-readonly-lifecycle.test.tsx,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-13,웹,관리자,admin,매출 집계 조회,/admin/sales,매출 조회,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminSales.tsx | src/components/admin/AffiliatePerformance.tsx,/api/admin-posthog-affiliate?days | /api/admin-sales?days,tests/unit/accounting-export.test.ts | tests/unit/admin-bot-dispatch-views.test.ts | tests/unit/admin-bot-query-commands.test.ts | tests/unit/admin-bypass-detector-a1-7-1.test.ts | tests/unit/admin-sales-aggregate-coverage.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-14,웹,관리자,admin,운영 브리핑 조회,/admin/briefing,브리핑 조회,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminBriefing.tsx,/api/admin-briefing,tests/unit/admin-bot-office-actions.test.ts | tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/lint-admin-user-refresh.test.tsx | tests/unit/morning-briefing-aggregate.test.ts | tests/unit/ops-briefing-bridge.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-15,웹,관리자,admin,운영 의사결정 항목 검토,/admin/decisions,운영 결정 항목 조회·상태 변경,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminDecisions.tsx,/api/admin-decisions,tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/admin-bot-office-actions.test.ts | tests/unit/decision-queue.test.ts | tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/ops-briefing-bridge.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-16,웹,관리자,admin,결제 검토 대기 항목 처리,/admin/payment-reviews,결제 검토 항목 조회·처리,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminPaymentReviews.tsx | src/lib/authFetch.ts,/api/admin-payment-reviews,tests/unit/admin-ai-ops-availability.component.test.tsx | tests/unit/admin-ai-ops-center-preview.component.test.tsx | tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/admin-payment-reviews-page.component.test.tsx | tests/unit/admin-recorded-ai-usage.component.test.tsx,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-17,웹,관리자,admin,예약 캘린더·수동 예약·기사 배차,/admin/calendar,예약 조회·생성·수정 | 기사/차량 배정 | 배차 정보 수정,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminCalendar.tsx | src/lib/firebase.js,/api/admin-update-booking | /api/onboarding-coupons | Firestore: bookings | Firestore: calendar_blocks | Firestore: drivers | Firestore: users,tests/e2e/planner-full-flow.spec.ts | tests/unit/admin-ai-ops-center.component.test.tsx | tests/unit/cron-auth-pr419.test.ts | tests/unit/editorial-plan-detail-shell.test.ts | tests/unit/editorial-planner-journey.test.ts,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-18,웹,관리자,admin,방문·전환 분석 조회,/admin/analytics,방문자·전환 데이터 조회,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminAnalytics.tsx | src/lib/firebase.js,/api/onboarding-coupons | Firestore: bookings | Firestore: users,tests/global-setup.ts | tests/e2e/analytics-guard.spec.ts | tests/e2e/assistant-editorial.spec.ts | tests/e2e/auth-required-focus.spec.ts | tests/e2e/channel-readiness-preview.spec.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-19,웹,관리자,admin,운영 점검·설정 관리,/admin/ops,운영 점검 실행·결과 조회 | 런타임 플래그 조회·변경,부분 검증 — 로컬 실행 범위만 확인; 운영 미확인,P2,이번 화면 검사 대상 아님,실제 운영 점검 컴포넌트 8개·채널 준비상태 6개·사용량 화면 20개 통과. 합성 권한/HTTP 응답. 실제 관리자 운영 연결 아님.,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,실제 운영자 계정·대상 서비스 상태 확인,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminOpsHub.tsx | src/components/admin/DispatchTimeline.tsx | src/components/admin/TelegramLogs.tsx,Firestore: bookings | Firestore: dispatch_messages | Firestore: drivers,,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,"Astra 통합/검수, Luna 구현·검사. 실행별 상세: docs/qa/README.md 및 플래너 점검 기록"
미완료,ADM-20,웹,관리자,admin,품질 지표 조회,/admin/quality,품질 요약 조회,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminQualityDashboard.tsx,/api/admin-quality-summary?days,tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/quality-score-and-p2.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-21,웹,관리자,admin,번역 항목 조회·수정,/admin/translations,번역 검색·조회·저장,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminTranslations.tsx,/api/admin-translations | /api/admin-translations?${params.toString,tests/e2e/community-editorial.spec.ts | tests/e2e/i18n-locale-smoke.spec.ts | tests/unit/charter-usd-single-source.component.test.tsx | tests/unit/community-editorial-shell.component.test.tsx | tests/unit/community-public-privacy.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-22,웹,관리자,admin,쿠폰 발급·관리,/admin/coupons,쿠폰 발급,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminCoupons.tsx,/api/admin-issue-coupon,tests/e2e/mypage-editorial.spec.ts | tests/unit/coupon-charge.test.ts | tests/unit/editorial-planner-journey.test.ts | tests/unit/firestore-indexes-deployable.test.ts | tests/unit/lint-admin-user-refresh.test.tsx,금액·예약·정산·잔액 변경 및 실제 처리 별도 승인 | 인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-23,웹,관리자,admin,투어 상품 목록·상태 관리,/admin/products,상품 조회·게시 상태 관리,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminProducts.tsx | src/lib/firebase.js,/api/onboarding-coupons | Firestore: tours | Firestore: users,tests/unit/ai-planner-coupon-gate-pr433.test.ts | tests/unit/booking-cutoff-parity.test.ts | tests/unit/bughunt-halal-prompt.test.ts | tests/unit/build-prompt-compress-p194.test.ts | tests/unit/charterPricing.test.ts,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-24,웹,관리자,admin,투어 상품 신규 작성,/admin/products/new,상품 데이터 입력·저장,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminProductEditor.tsx | src/lib/tours-firestore.ts | src/components/admin/ProductEditor/BasicInfoTab.tsx,Firestore: tours_drafts,tests/unit/admin-product-publish-validation-a1-7-3.test.ts | tests/unit/admin-stops-tab-coords.component.test.tsx | tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/lint-admin-editor-lifecycle.test.tsx | tests/unit/lint-admin-effects.test.tsx,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-25,웹,관리자,admin,투어 상품 편집,/admin/products/edit/:tourId,상품 데이터 조회·수정·저장,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminProductEditor.tsx | src/lib/tours-firestore.ts | src/components/admin/ProductEditor/BasicInfoTab.tsx,Firestore: tours_drafts,tests/unit/admin-product-publish-validation-a1-7-3.test.ts | tests/unit/admin-stops-tab-coords.component.test.tsx | tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/lint-admin-editor-lifecycle.test.tsx | tests/unit/lint-admin-effects.test.tsx,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-26,웹,관리자,admin,추천 코스 목록·상태 관리,/admin/zone-courses,코스 목록 조회·상태 관리,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminZoneCourses.tsx | src/lib/zone-courses-firestore.ts,,tests/unit/admin-zone-courses-list.test.ts | tests/unit/block-decompose.test.ts | tests/unit/course-builder-zone-templates.test.ts | tests/unit/lint-admin-catalog-loading.test.tsx,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
미완료,ADM-27,웹,관리자,admin,추천 코스 신규 작성,/admin/zone-courses/new,코스 정보 입력·저장,코드 존재·기능 실행 미확인,P2,이번 화면 검사 대상 아님,기능별 추가 실행 없음; 관련 테스트 파일 존재만 확인,미확인: 실제 계정·저장·발송·결제 완료를 뜻하지 않음,코드 정적 추적만; 실제 화면·권한별 동작 미검증,해당 역할에서 정상 흐름 및 필수입력·서버 오류·중복제출(해당 시)을 검증하고 결과와 날짜를 기록,src/pages/AdminZoneCourseEditor.tsx | src/lib/zone-courses-firestore.ts | src/components/admin/ZoneCourseEditor/BasicTab.tsx,,tests/unit/i18n-hardcoded-fallback.test.ts | tests/unit/lint-admin-editor-lifecycle.test.tsx | tests/unit/lint-admin-effects.test.tsx | tests/unit/lint-admin-trend-loading.test.tsx,인증·권한·고객정보 변경/실데이터 접근 별도 승인,2026-09-23,
